Date, A, B
17-09-2020 15:10, 1, 0
17-09-2020 15:20, 0, 1
17-09-2020 15:26, 1, 0
17-09-2020 15:32, 1, 0
17-09-2020 15:58, 1, 0
17-09-2020 16:07, 0, 1
17-09-2020 16:15, 1, 0
17-09-2020 16:25, 0.5, 0.5
17-09-2020 16:29, 1, 0
17-09-2020 16:33, 0, 1
17-09-2020 16:40, 0, 1
17-09-2020 16:46, 1, 0
17-09-2020 16:55, 1, 0
17-09-2020 16:59, 1, 0
17-09-2020 17:07, 0.5, 0.5
17-09-2020 17:15, 1, 0
17-09-2020 17:23, 0, 1
17-09-2020 17:28, 1, 0
17-09-2020 17:30, 0, 1
17-09-2020 17:35, 1, 0
17-09-2020 17:43, 0, 1
17-09-2020 17:53, 1, 0
17-09-2020 18:02, 0, 1
17-09-2020 18:09, 1, 0
17-09-2020 18:17, 0, 1
17-09-2020 18:24, 1, 0
17-09-2020 18:32, 0, 1
17-09-2020 18:36, 0, 1
17-09-2020 18:38, 0, 1
17-09-2020 18:48, 1, 0
22-09-2020 07:54, 0, 1
22-09-2020 08:02, 0, 1
22-09-2020 08:06, 1, 0
22-09-2020 08:13, 0, 1
24-09-2020 15:40, 1, 0
24-09-2020 15:50, 0, 1
24-09-2020 15:57, 0, 1
24-09-2020 16:04, 1, 0
24-09-2020 16:13, 0, 1
24-09-2020 16:22, 1, 0
13-10-2020 16:07, 1, 0
13-10-2020 16:18, 1, 0
13-10-2020 16:24, 1, 0
13-10-2020 16:30, 1, 0
13-10-2020 16:34, 1, 0
13-10-2020 16:43, 0, 1
13-10-2020 16:48, 0, 1
13-10-2020 16:54, 1, 0
13-10-2020 17:02, 0, 1
13-10-2020 17:19, 0, 1
13-10-2020 17:27, 1, 0
13-10-2020 17:34, 1, 0
13-10-2020 17:41, 0, 1
13-10-2020 17:50, 1, 0
13-10-2020 18:01, 0, 1
13-10-2020 18:08, 1, 0
13-10-2020 18:12, 0, 1
22-10-2020 16:44, 1, 0
22-10-2020 16:50, 1, 0
22-10-2020 16:59, 1, 0
22-10-2020 17:19, 0, 1
22-10-2020 17:29, 0, 1
22-10-2020 17:38, 1, 0
22-10-2020 17:55, 0, 1
22-10-2020 18:04, 0, 1
22-10-2020 18:13, 0.5, 0.5
22-10-2020 18:19, 1, 0
22-10-2020 18:30, 1, 0
22-10-2020 18:46, 0, 1
22-10-2020 18:54, 0, 1
22-10-2020 19:04, 0, 1
22-10-2020 19:12, 0, 1
28-10-2020 16:49, 0, 1
28-10-2020 16:59, 0.5, 0.5
28-10-2020 17:10, 1, 0
28-10-2020 17:16, 0, 1
28-10-2020 17:26, 1, 0
28-10-2020 17:39, 1, 0
28-10-2020 17:52, 0, 1
28-10-2020 17:59, 0, 1
28-10-2020 18:06, 1, 0
28-10-2020 18:12, 1, 0
28-10-2020 18:18, 1, 0
28-10-2020 18:30, 0, 1
28-10-2020 18:39, 1, 0
28-10-2020 18:57, 0, 1
28-10-2020 19:12, 1, 0
28-10-2020 19:24, 0, 1
28-10-2020 19:27, 1, 0
28-10-2020 19:32, 0, 1
28-10-2020 19:44, 1, 0
28-10-2020 19:57, 0, 1
28-10-2020 20:05, 1, 0
28-10-2020 20:13, 1, 0
28-10-2020 20:20, 1, 0
